"","SE_Mu","SE_Sigma","SE_Hc","SE_Alpha"
"Germany, Berlin",0.0767463281019256,0.00712909594052768,0.00852184640572138,0.00401911012577774
"Switzerland, Geneva",0.0822799405573587,0.00781305012272997,0.000552132195842971,0.00177836623117963
"Switzerland, Basel",0.00224127754011655,0.00383032081949768,0.0111744781337204,0.00314493108797131
"France, Paris",0.12839665854687,0.0229066639181702,0.0099916126444464,0.00376862860775336
"Sweden, Stockholm",0.0258681674304629,0.00842687406903823,0.0147321122929965,0.000776889625614507
"Italy, Milan",0.0141421910710344,0.0059502016418432,0.0194028139550343,0.00435818350652119
"Czech Republic, Prague",0.000204830654741614,0.054428899847537,0.0150470501449503,0.00117266308155891
"Hungary, Budapest",0.0326954139027629,0.0704188651054903,0.0107135704687595,0.00388497025312929
"Denmark, Copenhagen",0.0803413468294469,0.0695368710155855,0.0514965493895476,0.00502400670898773
